frac_A,frac_ads
0.1,0.21375612327626548
0.11816326530612245,0.24685216442599914
0.1363265306122449,0.27848347444048605
0.15448979591836737,0.30874640756951366
0.1726530612244898,0.33772902655064896
0.19081632653061226,0.3655119765226567
0.2089795918367347,0.3921692506423208
0.22714285714285715,0.4177688627484673
0.2453061224489796,0.4423737696799557
0.26346938775510204,0.466041081468945
0.2816326530612245,0.48882448502396897
0.2997959183673469,0.5107733565729495
0.3179591836734694,0.5319334503198564
0.33612244897959187,0.5523472249582849
0.3542857142857143,0.5720541354708618
0.37244897959183676,0.5910908944466181
0.3906122448979592,0.6094917065687874
0.40877551020408165,0.6272884794336191
0.4269387755102041,0.6445110134423055
0.44510204081632654,0.6611871731508374
0.463265306122449,0.6773430421570296
0.48142857142857143,0.6930030633414015
0.4995918367346939,0.7081901660534023
0.5177551020408163,0.7229258816393241
0.5359183673469388,0.7372304485405416
0.5540816326530612,0.7511227241500953
0.5722448979591837,0.7646210137599042
0.5904081632653061,0.7777420292081885
0.6085714285714285,0.790501715029873
0.626734693877551,0.802915125691274
0.6448979591836734,0.8149964869423367
0.6630612244897959,0.8267592521592508
0.6812244897959183,0.8382161541485323
0.6993877551020408,0.8493792528335364
0.7175510204081632,0.8602599792004627
0.7357142857142857,0.8708691758418219
0.7538775510204081,0.8812171344010364
0.7720408163265305,0.8913136301910342
0.790204081632653,0.9011679542327766
0.8083673469387754,0.910788942935386
0.8265306122448979,0.9201850056180159
0.8446938775510203,0.9293641500545191
0.8628571428571428,0.9383340062047036
0.8810204081632652,0.9471018482807049
0.8991836734693877,0.9556746152832399
0.9173469387755101,0.9640589301301534
0.9355102040816325,0.9722611639089358
0.953673469387755,0.980287253821067
0.9718367346938775,0.9881430362216813
0.99,0.9958340365308447
