c,zeta_pH5.5,zeta_pH5.8,zeta_pH6.1
1e-05,-128.58278729987623,-140.4661020723829,-151.49577520233683
1.2328467394420658e-05,-126.93376946443125,-138.5355012569737,-149.3184263355834
1.5199110829529332e-05,-125.19584388042024,-136.52983008730362,-147.06790658968526
1.873817422860383e-05,-123.37433762760008,-134.45136368822125,-144.7420449138388
2.310129700083158e-05,-121.47395747987431,-132.30112891358667,-142.3372942636315
2.8480358684358048e-05,-119.4985277836213,-130.07883514428036,-139.84876458713453
3.511191734215127e-05,-117.45080238588149,-127.78284027050505,-137.27029757949455
4.328761281083062e-05,-115.33233903109597,-125.41014724575902,-134.59459799454766
5.3366992312063123e-05,-113.14342332549018,-122.95643271410975,-131.81343984543568
6.579332246575683e-05,-110.88303168527055,-120.41611557376876,-128.91796603289586
8.111308307896872e-05,-108.54882735838677,-117.78247916971807,-125.89909513312253
0.0001,-106.13718958638802,-115.04786511314545,-122.74803784991607
0.0001232846739442066,-103.64328242605694,-112.2039581561184,-119.45690773188876
0.0001519911082952933,-101.06117591616504,-109.2421784541482,-116.01938812189925
0.0001873817422860383,-98.38403723097261,-106.15418835229188,-112.43139475720137
0.00023101297000831605,-95.60441195162228,-102.9325048101758,-108.69165815172398
0.0002848035868435802,-92.7146139971066,-99.57118691340796,-104.80214922281401
0.0003511191734215131,-89.70723539164541,-96.06654453403016,-100.76828970150876
0.00043287612810830614,-86.5757727847408,-92.41779570583385,-96.59892361984753
0.0005336699231206312,-83.31534693750886,-88.62759426838042,-92.30606890099874
0.0006579332246575682,-79.92346725547637,-84.70236121683703,-87.9045064652541
0.0008111308307896872,-76.40077173468984,-80.65238285956889,-83.41128747237242
0.001,-72.75166091181026,-76.4916793189239,-78.84524231742941
0.0012328467394420659,-68.98474893317228,-72.23768623097853,-74.22655972895257
0.0015199110829529332,-65.11307740264434,-67.91081874838828,-69.57647757423501
0.001873817422860385,-61.15407317664987,-63.53399302996968,-64.91709675586209
0.0023101297000831605,-57.12926898061782,-59.13216641772603,-60.27130213149687
0.002848035868435802,-53.06383347662541,-54.731929625118646,-55.66275305410823
0.003511191734215131,-48.98596708803363,-50.36115142736349,-51.11589187827796
0.004328761281083057,-44.92621082496125,-46.04864701664717,-46.655911506670364
0.005336699231206312,-40.916694175154234,-41.823821571487564,-42.30862281350925
0.006579332246575682,-36.99032548842597,-37.7162343724534,-38.100170363607596
0.008111308307896872,-33.17991459227238,-33.7550374760401,-34.05656144986041
0.01,-29.517219224955134,-29.968265907374636,-30.202999597746288
0.012328467394420659,-26.031925054330458,-26.381990287376354,-26.56304760408317
0.015199110829529346,-22.750598272841305,-23.01938133606629,-23.15768181436957
0.018738174228603847,-19.69568010565726,-19.899769638158467,-20.004330541121313
0.023101297000831605,-16.884612693221143,-17.03780372922044,-17.116006266201143
0.02848035868435802,-14.329187180117152,-14.44280826665149,-14.500637315132938
0.03511191734215131,-12.035185380075431,-12.118421297869316,-12.16067985277364
0.043287612810830614,-10.002351495539921,-10.062551923071798,-10.09305197382473
0.05336699231206313,-8.224690466832065,-8.26765788962787,-8.289389246838704
0.06579332246575682,-6.691055238951708,-6.721307457391062,-6.73658575273244
0.08111308307896872,-5.385962913784191,-5.406967254077555,-5.417562203401803
0.1,-4.290569689728815,-4.30494768529423,-4.312192788799537
