pH,zeta
4.0,-35.486309631851505
4.122448979591836,-39.071022933204596
4.244897959183674,-42.65011916622952
4.36734693877551,-46.199408760576894
4.489795918367347,-49.69378182621341
4.612244897959184,-53.106598878896115
4.73469387755102,-56.40944069610955
4.857142857142857,-59.5723196866012
4.979591836734694,-62.56447436846267
5.1020408163265305,-65.35583452325979
5.224489795918368,-67.9191272853164
5.346938775510204,-70.2323925152928
5.469387755102041,-72.28144549022404
5.591836734693878,-74.06168276917565
5.714285714285714,-75.57869458250127
5.836734693877551,-76.84745314587536
5.959183673469388,-77.8902714708705
6.081632653061225,-78.73406606981146
6.204081632653061,-79.40756041057173
6.326530612244898,-79.93893410388903
6.448979591836735,-80.35417286095264
6.571428571428571,-80.67613869146373
6.6938775510204085,-80.92423214428443
6.816326530612245,-81.11446499307281
6.938775510204081,-81.25977255995517
7.061224489795919,-81.37043474856382
7.183673469387755,-81.45451924802445
7.3061224489795915,-81.51829724771451
7.428571428571429,-81.56660807333154
7.551020408163265,-81.60316549419412
7.673469387755102,-81.63080756712753
7.795918367346939,-81.65169624236304
7.918367346938775,-81.66747447174976
8.040816326530612,-81.67938852904805
8.16326530612245,-81.68838248525822
8.285714285714285,-81.69517074556265
8.408163265306122,-81.7002934965242
8.53061224489796,-81.70415895009072
8.653061224489797,-81.70707544883064
8.775510204081632,-81.70927582048965
8.89795918367347,-81.71093582724227
9.020408163265305,-81.71218812685386
9.142857142857142,-81.71313282921795
9.26530612244898,-81.71384547378844
9.387755102040817,-81.71438305531612
9.510204081632653,-81.71478857384042
9.63265306122449,-81.71509446948251
9.755102040816325,-81.7153252148757
9.877551020408163,-81.7154992715353
10.0,-81.71563056606475
